DR_NO;Date Rptd;TIME OCC;AREA;AREA NAME;LOCATION;Vict Sex
201918131;12/15/2020 12:00:00 AM;105;19;Mission    ;8300    WILLIS                       AV ;M
201918514;12/28/2020 12:00:00 AM;1700;19;Mission    ;EL DORADO                               ;
201907263;03/06/2020 12:00:00 AM;2245;19;Mission    ;13400    BROMWICH                     ST;M
201911626;07/01/2020 12:00:00 AM;420;19;Mission    ;14200    COMMUNITY                    ST;M
201918244;12/20/2020 12:00:00 AM;1625;19;Mission    ;10300    BURNET                       AV;F
201907609;03/13/2020 12:00:00 AM;1930;19;Mission    ;11100 N  SEPULVEDA                    BL;F
201912705;07/29/2020 12:00:00 AM;100;19;Mission    ;8900    TOBIAS                       AV ;M
201910578;06/05/2020 12:00:00 AM;1400;19;Mission    ;11100    STRANWOOD                    AV;M
201910697;06/05/2020 12:00:00 AM;1900;19;Mission    ;14200    TERRA BELLA                  ST;F
201909422;05/04/2020 12:00:00 AM;1830;19;Mission    ;SEPULVEDA                               ;M
201911405;06/25/2020 12:00:00 AM;1300;19;Mission    ;9300    SYLMAR                       AV ;F
201911974;07/10/2020 12:00:00 AM;920;19;Mission    ;BURNET                       AV         ;M
201917806;12/07/2020 12:00:00 AM;1050;19;Mission    ;10300 N  SEPULVEDA                    BL;M
201917169;11/20/2020 12:00:00 AM;730;19;Mission    ;8500    COLUMBUS                     AV ;F
201908888;04/18/2020 12:00:00 AM;2230;19;Mission    ;ROSCOE                                  ;M
201918587;12/23/2020 12:00:00 AM;330;19;Mission    ;9100    BURNET                       AV ;F
201917332;11/24/2020 12:00:00 AM;1730;19;Mission    ;9000    ORION                        AV ;F
201908133;03/26/2020 12:00:00 AM;1413;19;Mission    ;7900    MATILIJA                     AV ;M
201910970;06/15/2020 12:00:00 AM;2100;19;Mission    ;9300 N  SEPULVEDA                    BL ;
201905829;02/08/2020 12:00:00 AM;1830;19;Mission    ;14400    VAN NUYS                     BL;F
201906425;02/19/2020 12:00:00 AM;1740;19;Mission    ;12300    SAN FERNANDO                 RD;F
201900669;03/13/2020 12:00:00 AM;920;19;Mission    ;13600    FELLOWS                      AV;F
211905768;02/19/2021 12:00:00 AM;900;19;Mission    ;12500    SAN FERNANDO                 RD;M
201911564;06/30/2020 12:00:00 AM;30;19;Mission    ;13100    FOOTHILL                     BL;X
201904819;01/19/2020 12:00:00 AM;2230;19;Mission    ;10600 N  SEPULVEDA                    BL;F
201916792;11/11/2020 12:00:00 AM;850;19;Mission    ;12300    SAN FERNANDO                 RD;F
201910499;06/02/2020 12:00:00 AM;1800;19;Mission    ;13600    BRANFORD                     ST;
201918260;12/20/2020 12:00:00 AM;925;19;Mission    ;14200    COMMUNITY                    ST;M
201914320;09/09/2020 12:00:00 AM;1600;19;Mission    ;14400    ROSCOE                       BL;M
201905382;01/31/2020 12:00:00 AM;1600;19;Mission    ;9000    WOODMAN                      AV ;M
201917134;11/19/2020 12:00:00 AM;1839;19;Mission    ;8400    VAN NUYS                     BL ;F
201905824;02/07/2020 12:00:00 AM;1000;19;Mission    ;13300    PHILLIPPI                    AV;F
201917541;11/30/2020 12:00:00 AM;1700;19;Mission    ;9400    VAN NUYS                     BL ;
201914007;08/31/2020 12:00:00 AM;2010;19;Mission    ;8500    COLUMBUS                     AV ;F
201904854;01/20/2020 12:00:00 AM;500;19;Mission    ;12900    DRONFIELD                    AV;
201917205;11/22/2020 12:00:00 AM;1200;19;Mission    ;12600    AMBOY                        AV;F
201908137;03/26/2020 12:00:00 AM;1200;19;Mission    ;14800    ROSCOE                       BL;F
201908176;03/28/2020 12:00:00 AM;1400;19;Mission    ;12100    EL DORADO                    AV;M
201918080;12/14/2020 12:00:00 AM;1500;19;Mission    ;15500    NORDHOFF                     ST;F
201911647;07/02/2020 12:00:00 AM;115;19;Mission    ;11300 N  SEPULVEDA                    BL;M
201914805;09/22/2020 12:00:00 AM;405;19;Mission    ;8600 N  SEPULVEDA                    BL ;M
201904174;01/05/2020 12:00:00 AM;1226;19;Mission    ;ROSCOE                       BL         ;X
201910487;06/02/2020 12:00:00 AM;2120;19;Mission    ;9000    WOODMAN                      AV ;M
201908845;04/18/2020 12:00:00 AM;1730;19;Mission    ;14300    ROSCOE                       BL;F
201918366;12/22/2020 12:00:00 AM;2020;19;Mission    ;9200    CEDROS                       AV ;F
201915463;10/09/2020 12:00:00 AM;2100;19;Mission    ;14100    ROSCOE                       BL;
201917860;12/08/2020 12:00:00 AM;2220;19;Mission    ;9500 N  SEPULVEDA                    BL ;F
201918085;12/15/2020 12:00:00 AM;800;19;Mission    ;CHASE                                   ;
201907854;03/19/2020 12:00:00 AM;700;19;Mission    ;9800    BURNET                       AV ;
201913839;08/23/2020 12:00:00 AM;2100;19;Mission    ;8600    WOODMAN                      AV ;F
201905452;02/02/2020 12:00:00 AM;2230;19;Mission    ;15200    RAYEN                        ST;F
201909541;05/07/2020 12:00:00 AM;2215;19;Mission    ;13200    BOMBAY                       ST;M
201908319;04/01/2020 12:00:00 AM;1030;19;Mission    ;12600    FOOTHILL                     BL;M
201908316;04/01/2020 12:00:00 AM;2000;19;Mission    ;13700    SHABLOW                      AV;M
201907627;03/15/2020 12:00:00 AM;1;19;Mission    ;8800    COLBATH                      AV ;F
201907806;03/02/2020 12:00:00 AM;100;19;Mission    ;14400    FOOTHILL                     BL;F
201912049;07/13/2020 12:00:00 AM;2230;19;Mission    ;15100    LAKESIDE                     ST;F
201908813;04/16/2020 12:00:00 AM;1820;19;Mission    ;CHASE                                   ;M
211904273;01/08/2021 12:00:00 AM;1920;19;Mission    ;15500    FOOTHILL                     BL;M
201915062;09/29/2020 12:00:00 AM;500;19;Mission    ;7700    VENTURA CANYON               AV ;
211904016;12/31/2020 12:00:00 AM;1930;19;Mission    ;LASSEN                                  ;F
201915711;10/15/2020 12:00:00 AM;1700;19;Mission    ;14700    NORDHOFF                     ST;F
201906111;02/12/2020 12:00:00 AM;1920;19;Mission    ;13700    FOOTHILL                     BL;F
201907237;03/06/2020 12:00:00 AM;1137;19;Mission    ;SAYRE                                   ;F
201905777;02/06/2020 12:00:00 AM;520;19;Mission    ;8900    COLUMBUS                     AV ;F
201913706;08/24/2020 12:00:00 AM;1853;19;Mission    ;15400    GLENOAKS                     BL;F
201913147;08/11/2020 12:00:00 AM;620;19;Mission    ;13000    GLENOAKS                     BL;M
201916103;10/11/2020 12:00:00 AM;1317;19;Mission    ;9100    BURNET                       AV ;M
201916007;10/22/2020 12:00:00 AM;930;19;Mission    ;14900    ASTORIA                      ST;F
201904995;01/23/2020 12:00:00 AM;1000;19;Mission    ;12200    FRANK MODUGN                 DR;
201900825;07/08/2020 12:00:00 AM;2100;19;Mission    ;14700    GLEDHILL                     ST;F
201916812;11/12/2020 12:00:00 AM;1435;19;Mission    ;13500    RANGOON                      ST;M
201908893;04/19/2020 12:00:00 AM;800;19;Mission    ;12900    DRONFIELD                    AV;F
201915701;10/15/2020 12:00:00 AM;1700;19;Mission    ;14900    ASTORIA                      ST;
201915729;10/16/2020 12:00:00 AM;1700;19;Mission    ;WOODMAN                      AV         ;
201906907;02/28/2020 12:00:00 AM;1530;19;Mission    ;14200    VAN NUYS                     BL;M
201900779;05/28/2020 12:00:00 AM;930;19;Mission    ;12900    DRONFIELD                    AV;X
201914452;09/12/2020 12:00:00 AM;1253;19;Mission    ;13600    FOOTHILL                     BL;M
201911690;07/02/2020 12:00:00 AM;2030;19;Mission    ;14300    SAYRE                        ST;F
201913971;08/31/2020 12:00:00 AM;1545;19;Mission    ;8000    VAN NUYS                     BL ;M
201918179;12/17/2020 12:00:00 AM;2230;19;Mission    ;8300    VAN NUYS                     BL ;M
201905752;02/06/2020 12:00:00 AM;2100;19;Mission    ;11200    LAUREL CANYON                BL;M
201909350;05/02/2020 12:00:00 AM;300;19;Mission    ;11900    YOUNGDALE                    AV;F
201905074;01/24/2020 12:00:00 AM;1430;19;Mission    ;8400    SEPULVEDA                    BL ;F
201908520;04/07/2020 12:00:00 AM;2000;19;Mission    ;7700    WOODMAN                      AV ;F
201913724;08/24/2020 12:00:00 AM;1700;19;Mission    ;8600    VAN NUYS                     BL ;
201904497;01/12/2020 12:00:00 AM;500;19;Mission    ;9000    GULLO                        AV ;
201915279;10/05/2020 12:00:00 AM;2000;19;Mission    ;13500 W  MUSCATINE                    ST;F
211904142;12/23/2020 12:00:00 AM;2030;19;Mission    ;7900    HAZELTINE                    AV ;F
201918281;12/21/2020 12:00:00 AM;445;19;Mission    ;SEPULVEDA                    BL         ;F
201912813;08/01/2020 12:00:00 AM;2300;19;Mission    ;DRONFIELD                               ;F
201918440;12/25/2020 12:00:00 AM;1830;19;Mission    ;9000    BARTEE                       AV ;F
201906115;02/12/2020 12:00:00 AM;1130;19;Mission    ;14500    NORDHOFF                     ST;F
201916366;10/30/2020 12:00:00 AM;815;19;Mission    ;13800    BALBOA                       BL;M
201911366;06/25/2020 12:00:00 AM;2330;19;Mission    ;14000    FOOTHILL                     BL;M
201912969;08/06/2020 12:00:00 AM;2330;19;Mission    ;9300    SYLMAR                       AV ;F
201918318;12/21/2020 12:00:00 AM;1540;19;Mission    ;10300 N  SEPULVEDA                    BL;X
201917097;11/19/2020 12:00:00 AM;1800;19;Mission    ;9200    WAKEFIELD                    AV ;M
201910384;05/29/2020 12:00:00 AM;2230;19;Mission    ;8200 N  SEPULVEDA                    BL ;
201905280;01/28/2020 12:00:00 AM;2100;19;Mission    ;13700    FENTON                       AV;F
201918298;12/21/2020 12:00:00 AM;600;19;Mission    ;13500    FOOTHILL                     BL;
201914525;09/15/2020 12:00:00 AM;2100;19;Mission    ;8000    LANGDON                      AV ;F
201910782;06/11/2020 12:00:00 AM;1920;19;Mission    ;ROSCOE                                  ;F
201915419;10/07/2020 12:00:00 AM;1900;19;Mission    ;9500    VAN NUYS                     BL ;F
201910255;04/29/2020 12:00:00 AM;800;19;Mission    ;8800    VAN NUYS                     BL ;F
201913897;08/29/2020 12:00:00 AM;2100;19;Mission    ;12900    FOUR PALMS                   LN;
201906279;02/16/2020 12:00:00 AM;2035;19;Mission    ;14100    JOUETT                       ST;M
201904676;01/15/2020 12:00:00 AM;1911;19;Mission    ;PARTHENIA                               ;M
201904393;01/06/2020 12:00:00 AM;1104;19;Mission    ;8500    VESPER                       AV ;M
201911330;06/24/2020 12:00:00 AM;2100;19;Mission    ;COLUMBUS                     AV         ;
201916044;10/10/2020 12:00:00 AM;2100;19;Mission    ;15000    CRESTKNOLL                   DR;M
201912188;07/16/2020 12:00:00 AM;2330;19;Mission    ;9800    WOODMAN                      AV ;M
201904708;01/16/2020 12:00:00 AM;1125;19;Mission    ;12700    NORRIS                       AV;M
201912947;08/05/2020 12:00:00 AM;1320;19;Mission    ;GLENOAKS                     BL         ;F
201910989;06/11/2020 12:00:00 AM;1838;19;Mission    ;13800    SAYRE                        ST;M
201915651;10/06/2020 12:00:00 AM;1200;19;Mission    ;13800    OSBORNE                      ST;F
201913811;08/26/2020 12:00:00 AM;1710;19;Mission    ;8300    VAN NUYS                     BL ;M
201910226;05/25/2020 12:00:00 AM;940;19;Mission    ;15100    CHASE                        ST;F
201908452;04/04/2020 12:00:00 AM;1730;19;Mission    ;VAN NUYS                     BL         ;F
201911677;07/02/2020 12:00:00 AM;2200;19;Mission    ;13900    LA RUE                       ST;
201910064;05/20/2020 12:00:00 AM;2200;19;Mission    ;11100 N  SEPULVEDA                    BL;F
201911721;07/03/2020 12:00:00 AM;1830;19;Mission    ;7900    WILLIS                       AV ;F
201910892;06/12/2020 12:00:00 AM;1441;19;Mission    ;12700    NORRIS                       AV;M
201907315;03/08/2020 12:00:00 AM;2300;19;Mission    ;9800    VESPER                       AV ;
201918066;12/14/2020 12:00:00 AM;1700;19;Mission    ;14300    GRAMMAR                      PL;F
201913714;08/24/2020 12:00:00 AM;2000;19;Mission    ;9000    CEDROS                       AV ;
201915406;10/07/2020 12:00:00 AM;1500;19;Mission    ;8400    LANGDON                      AV ;F
201900643;02/29/2020 12:00:00 AM;700;19;Mission    ;BROMONT                                 ;M
201917710;12/04/2020 12:00:00 AM;1645;19;Mission    ;13800    GARRICK                      AV;F
201908645;04/12/2020 12:00:00 AM;26;19;Mission    ;12700    FOOTHILL                     BL;M
211909045;05/24/2021 12:00:00 AM;845;19;Mission    ;13900    GRABER                       AV;F
201905856;02/08/2020 12:00:00 AM;2000;19;Mission    ;13100    FOOTHILL                     BL;M
201905015;01/23/2020 12:00:00 AM;600;19;Mission    ;14700    RAYEN                        ST;F
201917210;11/22/2020 12:00:00 AM;800;19;Mission    ;12900    HERRICK                      AV;F
201909636;05/10/2020 12:00:00 AM;2130;19;Mission    ;13400    ALMETZ                       ST;M
201914042;09/02/2020 12:00:00 AM;1800;19;Mission    ;GLENOAKS                                ;M
201908821;04/14/2020 12:00:00 AM;1115;19;Mission    ;BORDEN                                  ;F
201907780;03/17/2020 12:00:00 AM;1215;19;Mission    ;14800    ROSCOE                       BL;M
201912787;08/01/2020 12:00:00 AM;1015;19;Mission    ;8300    TYRONE                       AV ;F
201913450;08/18/2020 12:00:00 AM;213;19;Mission    ;14300    ASTORIA                      ST;F
201918136;12/17/2020 12:00:00 AM;28;19;Mission    ;POLK                         ST         ;M
201900713;04/02/2020 12:00:00 AM;800;19;Mission    ;8400    COLUMBUS                     AV ;F
201911821;07/06/2020 12:00:00 AM;520;19;Mission    ;8100    WOODMAN                      AV ;M
201906096;02/11/2020 12:00:00 AM;1600;19;Mission    ;9200    SEPULVEDA                    BL ;F
201910357;05/28/2020 12:00:00 AM;1300;19;Mission    ;9400    LEMONA                       AV ;
201904776;01/16/2020 12:00:00 AM;2040;19;Mission    ;8400    LANGDON                      AV ;M
201914589;09/16/2020 12:00:00 AM;2200;19;Mission    ;9100 N  SEPULVEDA                    BL ;M
201911696;07/03/2020 12:00:00 AM;1200;19;Mission    ;9300    SHARP                        AV ;
201918202;12/19/2020 12:00:00 AM;740;19;Mission    ;8600    COLUMBUS                     AV ;F
201908753;04/15/2020 12:00:00 AM;2341;19;Mission    ;7800    VAN NUYS                     BL ;M
201906233;02/14/2020 12:00:00 AM;1600;19;Mission    ;12400    GLADSTONE                    AV;M
201916432;11/02/2020 12:00:00 AM;2000;19;Mission    ;15200    LORNE                        ST;M
201911072;06/17/2020 12:00:00 AM;1700;19;Mission    ;12700    ENCINITAS                    AV;F
201911199;06/20/2020 12:00:00 AM;2130;19;Mission    ;12700    RAJAH                        ST;M
201908503;04/06/2020 12:00:00 AM;2100;19;Mission    ;11000    ONEIDA                       AV;F
201917521;11/28/2020 12:00:00 AM;1500;19;Mission    ;14000    RABBIT                       RD;M
201905122;01/26/2020 12:00:00 AM;200;19;Mission    ;DE SANTIS                    AV         ;F
201911940;07/09/2020 12:00:00 AM;1040;19;Mission    ;14100    ROSCOE                       BL;F
201914900;09/24/2020 12:00:00 AM;2010;19;Mission    ;10300 N  SEPULVEDA                    BL;X
201909579;05/08/2020 12:00:00 AM;1150;19;Mission    ;WILLIS                       AV         ;F
201907542;03/06/2020 12:00:00 AM;1100;19;Mission    ;BLEDSOE                                 ;X
211904136;01/04/2021 12:00:00 AM;2000;19;Mission    ;9000    LEV                          AV ;F
201906955;02/28/2020 12:00:00 AM;1200;19;Mission    ;11000 N  SEPULVEDA                    BL;M
201906501;02/21/2020 12:00:00 AM;1;19;Mission    ;14900    BLYTHE                       ST;
201916132;10/26/2020 12:00:00 AM;1740;19;Mission    ;13200    GLENOAKS                     BL;F
201914528;09/15/2020 12:00:00 AM;200;19;Mission    ;13300    DRONFIELD                    AV;M
201909448;05/05/2020 12:00:00 AM;1200;19;Mission    ;12800    HARDING                      ST;
201914500;09/14/2020 12:00:00 AM;1200;19;Mission    ;14700    STRATHERN                    ST;F
201913095;08/09/2020 12:00:00 AM;1600;19;Mission    ;14800    WILLARD                      ST;M
201911887;07/08/2020 12:00:00 AM;200;19;Mission    ;14500    TUPPER                       ST;
201914562;09/15/2020 12:00:00 AM;1500;19;Mission    ;13500    CHIVERS                      AV;M
201906550;02/21/2020 12:00:00 AM;1410;19;Mission    ;8100    CALHOUN                      AV ;F
201912183;07/15/2020 12:00:00 AM;1900;19;Mission    ;13700    ROSCOE                       BL;F
201912350;07/20/2020 12:00:00 AM;1140;19;Mission    ;14800    ROSCOE                       BL;M
201905131;01/26/2020 12:00:00 AM;2015;19;Mission    ;FOOTHILL                                ;M
201907666;03/16/2020 12:00:00 AM;1900;19;Mission    ;9600    SEPULVEDA                    BL ;F
201917365;11/26/2020 12:00:00 AM;1948;19;Mission    ;9700    SALOMA                       AV ;F
201906328;02/17/2020 12:00:00 AM;800;19;Mission    ;13700    HUBBARD                      ST;M
201904368;01/08/2020 12:00:00 AM;1700;19;Mission    ;11100    STRANWOOD                    AV;F
201909115;04/25/2020 12:00:00 AM;300;19;Mission    ;11100    LAUREL CANYON                BL;M
201915970;10/21/2020 12:00:00 AM;942;19;Mission    ;8500    TOBIAS                       AV ;M
201917885;12/10/2020 12:00:00 AM;120;19;Mission    ;9000    ORION                        AV ;M
201914062;09/01/2020 12:00:00 AM;731;19;Mission    ;NORDHOFF                                ;F
201906951;02/29/2020 12:00:00 AM;2030;19;Mission    ;14000    BALBOA                       BL;M
201907816;03/18/2020 12:00:00 AM;1200;19;Mission    ;13900    BURTON                       ST;F
201909194;04/27/2020 12:00:00 AM;1030;19;Mission    ;8900    TOBIAS                       AV ;M
201916454;11/02/2020 12:00:00 AM;2000;19;Mission    ;12400    SAN FERNANDO                 RD;
201909001;04/22/2020 12:00:00 AM;730;19;Mission    ;13400    OSBORNE                      ST;F
201906995;02/28/2020 12:00:00 AM;900;19;Mission    ;8000    GREENBUSH                    AV ;F
201909476;05/06/2020 12:00:00 AM;15;19;Mission    ;14500    POLK                         ST;M
201908337;04/02/2020 12:00:00 AM;138;19;Mission    ;PARTHENIA                               ;M
201909598;05/09/2020 12:00:00 AM;2330;19;Mission    ;13100    HUBBARD                      ST;M
201911543;06/29/2020 12:00:00 AM;1335;19;Mission    ;BEAVER                       ST         ;M
201911363;06/24/2020 12:00:00 AM;130;19;Mission    ;9700    NAGLE                        AV ;F
201907640;03/14/2020 12:00:00 AM;1508;19;Mission    ;CEDROS                                  ;F
201917962;12/11/2020 12:00:00 AM;1800;19;Mission    ;13300    OSBORNE                      ST;M
201907139;03/04/2020 12:00:00 AM;1800;19;Mission    ;14100    VAN NUYS                     BL;F
201911524;06/27/2020 12:00:00 AM;2200;19;Mission    ;CHASE                        ST         ;F
201915957;10/21/2020 12:00:00 AM;2100;19;Mission    ;14500    BRAND                        BL;
201913306;08/14/2020 12:00:00 AM;2100;19;Mission    ;13400    DYER                         ST;F
201914908;09/24/2020 12:00:00 AM;304;19;Mission    ;15200    BRAND                        BL;X
201915821;10/17/2020 12:00:00 AM;2200;19;Mission    ;16600    FOOTHILL                     BL;M
201913943;08/31/2020 12:00:00 AM;1250;19;Mission    ;13100    BRAND                        BL;F
201917702;12/04/2020 12:00:00 AM;1615;19;Mission    ;10100 N  SEPULVEDA                    BL;F
201917903;12/08/2020 12:00:00 AM;1440;19;Mission    ;13900    FOOTHILL                     BL;F
201904942;01/22/2020 12:00:00 AM;2000;19;Mission    ;13000    SHENLEY                      ST;M
201912801;08/01/2020 12:00:00 AM;1845;19;Mission    ;14700    RINALDI                      ST;X
201906325;02/17/2020 12:00:00 AM;1600;19;Mission    ;SHARP                                   ;M
201916753;11/10/2020 12:00:00 AM;1047;19;Mission    ;DRONFIELD                    AV         ;M
201916383;10/30/2020 12:00:00 AM;1915;19;Mission    ;ALLOTT                                  ;M
201914717;09/19/2020 12:00:00 AM;1030;19;Mission    ;14400    VAN NUYS                     BL;F
201908769;04/15/2020 12:00:00 AM;30;19;Mission    ;8600    SEPULVEDA                    BL ;X
201913125;08/11/2020 12:00:00 AM;2200;19;Mission    ;SEPULVEDA                    PL         ;M
201913805;08/26/2020 12:00:00 AM;1900;19;Mission    ;SYLMAR                       AV         ;
201908517;04/07/2020 12:00:00 AM;900;19;Mission    ;WOODMAN                      AV         ;
201905554;02/03/2020 12:00:00 AM;2000;19;Mission    ;12800    FENTON                       AV;F
201912543;07/27/2020 12:00:00 AM;400;19;Mission    ;13100    BROMONT                      AV;F
201910945;06/14/2020 12:00:00 AM;2150;19;Mission    ;13100    GLENOAKS                     BL;F
201909365;05/02/2020 12:00:00 AM;1638;19;Mission    ;9100    SEPULVEDA                    BL ;M
211906459;03/05/2021 12:00:00 AM;630;19;Mission    ;12900    DRONFIELD                    AV;F
201907416;03/09/2020 12:00:00 AM;1050;19;Mission    ;12700    GLENOAKS                     BL;F
201916607;11/05/2020 12:00:00 AM;1110;19;Mission    ;12700    ARROYO                       ST;M
201910690;06/08/2020 12:00:00 AM;2240;19;Mission    ;8700    TOBIAS                       AV ;M
201914497;09/14/2020 12:00:00 AM;810;19;Mission    ;14800    CHATSWORTH                   ST;F
201908965;04/21/2020 12:00:00 AM;1200;19;Mission    ;14000    SAN JOSE                     ST;F
201907222;03/05/2020 12:00:00 AM;1;19;Mission    ;9100    SEPULVEDA                    BL ;F
201908132;03/27/2020 12:00:00 AM;2245;19;Mission    ;14800    POLK                         ST;M
201912962;08/06/2020 12:00:00 AM;1606;19;Mission    ;13600    GAVINA                       AV;F
201910617;06/06/2020 12:00:00 AM;1020;19;Mission    ;14100    CLARETTA                     ST;F
201916621;11/07/2020 12:00:00 AM;1;19;Mission    ;13000    CANTARA                      ST;
201913102;08/10/2020 12:00:00 AM;1200;19;Mission    ;14000    KAGEL CANYON                 ST;
201912927;08/05/2020 12:00:00 AM;355;19;Mission    ;13500    GLENOAKS                     BL;X
201910514;06/02/2020 12:00:00 AM;1230;19;Mission    ;9600    ARLETA                       AV ;M
201915989;10/15/2020 12:00:00 AM;2100;19;Mission    ;BLACKHAWK                    ST         ;M
201911070;06/17/2020 12:00:00 AM;1400;19;Mission    ;9000    CEDROS                       AV ;
201904446;01/10/2020 12:00:00 AM;1910;19;Mission    ;9000    WILLIS                       AV ;F
201914398;09/10/2020 12:00:00 AM;1400;19;Mission    ;9000    CEDROS                       AV ;F
201918010;12/10/2020 12:00:00 AM;1520;19;Mission    ;14000    FENTON                       LN;F
201910849;06/12/2020 12:00:00 AM;1330;19;Mission    ;8600    VAN NUYS                     BL ;F
201908706;04/13/2020 12:00:00 AM;1400;19;Mission    ;13600    CANTARA                      ST;X
201908349;04/02/2020 12:00:00 AM;2000;19;Mission    ;13300    DRONFIELD                    AV;M
201906212;02/14/2020 12:00:00 AM;1200;19;Mission    ;14400    ORO GRANDE                   ST;F
201911496;06/28/2020 12:00:00 AM;2000;19;Mission    ;11300    ACALA                        AV;M
201906769;02/25/2020 12:00:00 AM;1600;19;Mission    ;8700 N  SEPULVEDA                    BL ;X
201918197;12/18/2020 12:00:00 AM;1400;19;Mission    ;15400    LASSEN                       ST;M
211910111;06/22/2021 12:00:00 AM;1545;19;Mission    ;9200    WAKEFIELD                    AV ;F
201909313;04/30/2020 12:00:00 AM;2215;19;Mission    ;13900    REMINGTON                    ST;F
201908943;04/21/2020 12:00:00 AM;20;19;Mission    ;15100    SAN FERNANDO                 BL;M
211904423;12/11/2020 12:00:00 AM;1230;19;Mission    ;8000    BROADLEAF                    AV ;F
201908153;03/27/2020 12:00:00 AM;1800;19;Mission    ;9200    WAKEFIELD                    AV ;F
201909140;04/26/2020 12:00:00 AM;2000;19;Mission    ;10900    MASCARELL                    AV;
201915702;10/15/2020 12:00:00 AM;600;19;Mission    ;10000    WISNER                       AV;M
201913578;08/21/2020 12:00:00 AM;1220;19;Mission    ;8800    KESTER                       AV ;M
201909143;04/26/2020 12:00:00 AM;1508;19;Mission    ;12600    GLENOAKS                     BL;F
201910648;06/07/2020 12:00:00 AM;1700;19;Mission    ;13800    BEAVER                       ST;M
211905574;02/15/2021 12:00:00 AM;1144;19;Mission    ;8500    VAN NUYS                     BL ;
201915486;10/09/2020 12:00:00 AM;2244;19;Mission    ;14700    ROSCOE                       BL;M
201914156;09/04/2020 12:00:00 AM;2030;19;Mission    ;14900    PADDOCK                      ST;M
201911718;07/03/2020 12:00:00 AM;1540;19;Mission    ;15100    PADDOCK                      ST;M
201915311;10/05/2020 12:00:00 AM;900;19;Mission    ;15900    VALLEY VIEW                  CT;F
201908856;04/18/2020 12:00:00 AM;2000;19;Mission    ;12900    MACNEIL                      ST;
201905615;02/04/2020 12:00:00 AM;830;19;Mission    ;9100    SEPULVEDA                    BL ;M
201905123;01/25/2020 12:00:00 AM;1830;19;Mission    ;12900    FOOTHILL                     BL;M
201905296;01/30/2020 12:00:00 AM;1516;19;Mission    ;14600    PARTHENIA                    ST;F
201908043;03/24/2020 12:00:00 AM;1600;19;Mission    ;9300 N  COLUMBUS                     AV ;
201908877;04/18/2020 12:00:00 AM;1700;19;Mission    ;14100    LA RUE                       ST;
201914968;09/27/2020 12:00:00 AM;30;19;Mission    ;RAYEN                        ST         ;F
201916982;11/16/2020 12:00:00 AM;700;19;Mission    ;15800    LARKSPUR                     ST;
201911842;07/02/2020 12:00:00 AM;1200;19;Mission    ;13300    BERG                         ST;M
201909236;04/28/2020 12:00:00 AM;50;19;Mission    ;9500    LEV                          AV ;M
201900747;04/25/2020 12:00:00 AM;900;19;Mission    ;12600    SAN FERNANDO                 RD;F
201913952;08/30/2020 12:00:00 AM;1200;19;Mission    ;14300    OSBORNE                      ST;M
201907239;03/06/2020 12:00:00 AM;1630;19;Mission    ;RINALDI                                 ;F
201906861;02/28/2020 12:00:00 AM;2200;19;Mission    ;LAUREL CANYON                BL         ;F
201906226;02/15/2020 12:00:00 AM;1200;19;Mission    ;13300    WHEELER                      AV;M
201910181;05/23/2020 12:00:00 AM;130;19;Mission    ;11100    ORION                        AV;M
201915645;10/08/2020 12:00:00 AM;600;19;Mission    ;13000    HARDING                      ST;M
201914874;09/24/2020 12:00:00 AM;1200;19;Mission    ;9100    VAN NUYS                     BL ;
201910699;06/09/2020 12:00:00 AM;1200;19;Mission    ;14700    TITUS                        ST;
201916722;11/09/2020 12:00:00 AM;2000;19;Mission    ;14300    FOOTHILL                     BL;
201900835;07/18/2020 12:00:00 AM;1400;19;Mission    ;8100    LANGDON                      AV ;M
201910212;05/25/2020 12:00:00 AM;100;19;Mission    ;8600    LANGDON                      AV ;M
201911009;06/16/2020 12:00:00 AM;1500;19;Mission    ;12900    TELFAIR                      AV;
201910736;06/09/2020 12:00:00 AM;1840;19;Mission    ;8800    CEDROS                       AV ;M
201912923;08/05/2020 12:00:00 AM;1830;19;Mission    ;15500    RAYEN                        ST;F
201911098;06/18/2020 12:00:00 AM;515;19;Mission    ;15100    ROSCOE                       BL;
201918059;12/15/2020 12:00:00 AM;1652;19;Mission    ;8800    GREENBUSH                    AV ;M
201911163;06/19/2020 12:00:00 AM;2230;19;Mission    ;13600    WILLARD                      ST;F
201915608;10/13/2020 12:00:00 AM;825;19;Mission    ;WOODMAN                      AV         ;M
201915692;10/14/2020 12:00:00 AM;1200;19;Mission    ;13400    RANGOON                      ST;F
201906280;02/17/2020 12:00:00 AM;210;19;Mission    ;13700    FOOTHILL                     BL;F
201916329;10/29/2020 12:00:00 AM;1800;19;Mission    ;14000    FOOTHILL                     BL;M
201912242;07/17/2020 12:00:00 AM;900;19;Mission    ;14100    HUBBARD                      ST;M
201909079;04/24/2020 12:00:00 AM;1750;19;Mission    ;ROSCOE                                  ;M
201910774;06/10/2020 12:00:00 AM;1645;19;Mission    ;WAKEFIELD                               ;M
201909842;05/15/2020 12:00:00 AM;1730;19;Mission    ;14900    ROSCOE                       BL;M
201908135;03/26/2020 12:00:00 AM;1900;19;Mission    ;9200    WOODMAN                      AV ;F
201906406;02/19/2020 12:00:00 AM;600;19;Mission    ;13900    STAGG                        ST;
